"name","address","latitude","longitude","link","price","health_color","special_diet"
"Akai Ryu Shabu & Sushi","1 Porter Sq",42.3887,-71.1185,"/restaurants/akai-ryu-shabu-sushi/","$$","yellow","  "
"Al Capone","82 Summer St",42.3538,-71.0585,"/restaurants/al-capone/","$","yellow","  "
"Al Dente Ristorante","109 Salem St",42.3643,-71.0555,"/restaurants/al-dente-ristorante/","$$$","yellow","  "
"Al's Deli","172 Brighton Ave",42.353,-71.133,"/restaurants/als-deli/","$","green","  "
"Al's Harvard Square Cafe","1350 Massachusetts Ave",42.3731,-71.1185,"/restaurants/als-harvard-square-cafe/","$","green","  "
"Al's South Street Cafe","179 Essex St",42.3524,-71.0595,"/restaurants/als-south-street-cafe/","$","green","  "
"Al's State Street Cafe","112 State St",42.3592,-71.0548,"/restaurants/als-state-street-cafe/","$","green","  "
"Alden & Harlow","40 Brattle St",42.3736,-71.1212,"/restaurants/alden-harlow/","$$$","yellow","  "
"Alex Pizza & Grill","1252\u002D54 Washington St",42.3424,-71.0674,"/restaurants/alex-pizza-grill/","$$","red","  "
"Alex's Chimis","358 Centre St",42.3224,-71.1079,"/restaurants/alexs-chimis/","$","yellow","  "
"Alfredo's","229 Brighton Ave",42.3534,-71.1361,"/restaurants/alfredos/","$$","green","  "
"Alfredo's Italian Kitchen","691 Cambridge St",42.3722,-71.0881,"/restaurants/alfredos-italian-kitchen/","$$$","yellow","  "
"Algiers Coffee House","40 Brattle St",42.3738,-71.1214,"/restaurants/algiers-coffee-house/","$$$","yellow","  "
"Ali Baba","145 E Berkeley St",42.3436,-71.0648,"/restaurants/ali-baba/","$$","yellow","  "
"Alibi","215 Charles St",42.3617,-71.071,"/restaurants/alibi/","$$","yellow","  "
"Alive & Kicking","269 Putnam Ave",42.3628,-71.1139,"/restaurants/alive-kicking/","$$$","red","  "
"All Star Pizza Bar","1238 Cambridge St",42.3733,-71.0981,"/restaurants/all-star-pizza-bar/","$$","yellow","  "
"All Star Sandwich Bar","1245 Cambridge St",42.3734,-71.0985,"/restaurants/all-star-sandwich-bar/","$$","green","  "
"Allston Diner","431 Cambridge St",42.3548,-71.1347,"/restaurants/allston-diner/","$$","green","vegan vegetarian-friendly "
"Allston Village Pizza & Grill","2 Brighton Ave",42.3522,-71.1252,"/restaurants/allston-village-pizza-grill/","$","yellow","  "
"Aman Palace","63 Union Sq",42.3798,-71.0954,"/restaurants/aman-palace/","$$","green"," vegetarian-friendly "
"Amelia's Taqueria","309 Huntington Ave",42.3412,-71.0875,"/restaurants/amelias-taqueria-2/","$$","yellow","  "
"Amelia's Taqueria","180 Brighton Ave",42.3531,-71.1336,"/restaurants/amelias-taqueria/","$","yellow","  "
"Amelia's Trattoria","111 Harvard St",42.365,-71.0931,"/restaurants/amelias-trattoria/","$$$$","red","  "
"American Bakers' Cafe","39 1st Ave",42.3756,-71.0535,"/restaurants/american-bakers-cafe/","$","green","  "
"Ames Plow Tavern","294 Faneuil Hall Marketplace",42.3607,-71.0545,"/restaurants/ames-plow-tavern/","$$","green","  "
"Ames Street Deli","73 Ames St",42.3625,-71.0882,"/restaurants/ames-street-deli/","$$","green","  "
"Amici","111 N Washington St",42.3656,-71.0581,"/restaurants/amici/","$$","yellow","  "
"Amsterdam Falafelshop","248 Elm St",42.3954,-71.1219,"/restaurants/amsterdam-falafelshop/","$","green"," vegetarian-friendly "
"An Tain","31 India St",42.3584,-71.0533,"/restaurants/an-tain/","$$","yellow","  "
"Anchovies","433 Columbus Ave",42.3438,-71.0779,"/restaurants/anchovies/","$$$","red","  "
"Andala Coffee House","286 Franklin St",42.3649,-71.106,"/restaurants/andala-coffee-house/","$","yellow","  "
"Andalus Pizza & Cafe","153 Sutherland Rd",42.3407,-71.1476,"/restaurants/andalus-pizza-cafe/","$$","green","  "
"Andre's Cafe","811 Harrison Ave",42.3358,-71.0742,"/restaurants/andres-cafe/","$$","green","  "
"Andy's Diner","2030 Massachusetts Ave",42.3908,-71.122,"/restaurants/andys-diner/","$$","green","  "
"Angela's Cafe","131 Lexington St",42.3788,-71.035,"/restaurants/angelas-cafe/","$$$","yellow","  "
"Angelina's Pizzeria","230 Holland St",42.4024,-71.127,"/restaurants/angelinas-pizzeria/","$$","red","  "
"Angelo's Pizza","444 Broadway",42.3732,-71.1108,"/restaurants/angelos-pizza/","$","yellow","  "
"Angora Cafe","1024 Commonwealth Ave",42.3518,-71.1216,"/restaurants/angora-cafe/","$$","yellow","  "
"Angora Ice","3\u002DA Boylston St",42.3221,-71.1695,"/restaurants/angora-ice/","$","yellow","  "
"Anna's Taqueria","1412 Beacon St",42.3412,-71.1257,"/restaurants/annas-taqueria-2/","$","red","  "
"Anna's Taqueria","822 Somerville Ave",42.3881,-71.1181,"/restaurants/annas-taqueria/","$","red","  "
"Anna's Taqueria","446 Harvard St",42.3462,-71.1282,"/restaurants/annas-taqueria-3/","$","red","  "
"Anna's Taqueria","84 Massachusetts Ave",42.3592,-71.0941,"/restaurants/annas-taqueria-4/","$","red","  "
"Anna's Taqueria","242 Cambridge St",42.3613,-71.0672,"/restaurants/annas-taqueria-5/","$","red","  "
"Anna's Taqueria","236 Elm St",42.395,-71.1217,"/restaurants/annas-taqueria-6/","$","red","  "
"Anthem","101 S Market St",42.3599,-71.0555,"/restaurants/anthem/","$$$$","red","  "
"Anthony's at Adams Village","789 Adams St",42.2832,-71.0559,"/restaurants/anthonys-at-adams-village/","$","yellow","  "
"Anthony's Cafe","252 Commercial St",42.3641,-71.0513,"/restaurants/anthonys-cafe/","$","green","  "
"Antico Forno","93 Salem St",42.364,-71.0559,"/restaurants/antico-forno/","$$$$","yellow","  "
"Antonio's","288 Cambridge St",42.3613,-71.0687,"/restaurants/antonios/","$$$","green","  "
"Anytime Pizza","212 Western Ave",42.3647,-71.1107,"/restaurants/anytime-pizza/","$$$","yellow","  "
"Appleton Cafe","123 Appleton St",42.3451,-71.0749,"/restaurants/appleton-cafe/","$","green","  "
"Apropos","39 Dalton St",42.3467,-71.085,"/restaurants/apropos/","$$$$","yellow","  "
"Aquitaine","569 Tremont St",42.3435,-71.0726,"/restaurants/aquitaine/","$$$$","yellow","  "
"Aquitaine Bis","11 Boylston St",42.3262,-71.1426,"/restaurants/aquitaine-bis/","$$$$$","yellow","  "
"Aragosta Bar + Bistro","3 Battery Wharf",42.3667,-71.0511,"/restaurants/aragosta-bar-bistro/","$$$$$","yellow","  "
"Aram's No 2 Pizza & Subs","345 Cambridge St",42.3713,-71.082,"/restaurants/arams-no-2-pizza-subs/","$$","red","  "
"Arc","835 Beacon St",42.3472,-71.103,"/restaurants/arc/","$$$","yellow","  "
"Archie's New York Deli","101 Arch St",42.3549,-71.0588,"/restaurants/archies-new-york-deli/","$","green","  "
"Archie's Place","245 Washington St",42.3577,-71.058,"/restaurants/archies-place/","$$","yellow","  "
"Area Four","500 Technology Sq",42.3634,-71.0924,"/restaurants/area-four/","$$$","yellow","  "
"Aria Trattoria","253 Hanover St",42.3633,-71.0549,"/restaurants/aria-trattoria/","$$$$$","red","  "
"Ariana Restaurant","129 Brighton Ave",42.353,-71.1313,"/restaurants/ariana-restaurant/","$$$","yellow","  "
"Armando's Pizza","163 Huron Ave",42.3822,-71.1314,"/restaurants/armandos-pizza/","$","yellow","  "
"ArtBar","40 Edwin Land Blvd",42.3669,-71.0749,"/restaurants/artbar/","$$$$","yellow","  "
"Artisan Bistro","10 Avery St",42.3531,-71.0634,"/restaurants/artisan-bistro/","$$$$","yellow","  "
"Artu","6 Prince St",42.3642,-71.054,"/restaurants/artu-2/","$$$$","red","  "
"Artu","89 Charles St",42.3588,-71.071,"/restaurants/artu/","$$$$","red","  "
"Asahi","418 Market St",42.3492,-71.1536,"/restaurants/asahi/","$$$$","yellow","  "
"Asia Wok","44 Harvard Ave",42.3545,-71.1329,"/restaurants/asia-wok/","$$","red","  "
"Asian Garden Restaurant","28 Harrison Ave",42.3519,-71.0612,"/restaurants/asian-garden-restaurant/","$$","red","  "
"Asian House","99 Cambridge St",42.3825,-71.0794,"/restaurants/asian-house/","$$$","yellow","  "
"Asian Noodle Stix","11 Belmont St",42.375,-71.1507,"/restaurants/asian-noodle-stix/","$","red","  "
"Asmara","739 Massachusetts Ave",42.3663,-71.1054,"/restaurants/asmara/","$$$","yellow","  "
"Assaggio","29 Prince St",42.3646,-71.0547,"/restaurants/assaggio/","$$$","yellow","  "
"Asta","47 Massachusetts Ave",42.3498,-71.0892,"/restaurants/asta/","$$$$$","yellow","  "
"Atasca","50 Hampshire St",42.367,-71.0929,"/restaurants/atasca/","$$","yellow","  "
"Athan's European Bakery","403 Washington St",42.3491,-71.155,"/restaurants/athans-european-bakery/","$","green","  "
"Athan's European Bakery","1621 Beacon St",42.3393,-71.1353,"/restaurants/athans-european-bakery-2/","$","green","  "
"Atlantic Beer Garden","146 Northern Ave",42.3505,-71.0432,"/restaurants/atlantic-beer-garden/","$$$","yellow","  "
"Atlantic Fish Company","761 Boylston St",42.3491,-71.0811,"/restaurants/atlantic-fish-company/","$$$$","yellow","  "
"Atomic Bean Cafe","904 Massachusetts Ave",42.3683,-71.1088,"/restaurants/atomic-bean-cafe/","$","yellow","  "
"Atwood's Tavern","877 Cambridge St",42.3726,-71.0917,"/restaurants/atwoods-tavern/","$$$","yellow","  "
"Au Bon Pain","800 Washington St",42.3495,-71.0632,"/restaurants/au-bon-pain-26/","$","green","  gluten-free"
"Au Bon Pain","238 Main St",42.3623,-71.0848,"/restaurants/au-bon-pain-15/","$","green","  gluten-free"
"Au Bon Pain","684 Massachusetts Ave",42.3658,-71.1045,"/restaurants/au-bon-pain-17/","$","green","  gluten-free"
"Au Bon Pain","800 Boylston St",42.3488,-71.0824,"/restaurants/au-bon-pain-3/","$","green","  gluten-free"
"Au Bon Pain","1 Joslin Pl",42.3386,-71.1083,"/restaurants/au-bon-pain-28/","$","green","  gluten-free"
"Au Bon Pain","640 Atlantic Ave",42.3525,-71.0555,"/restaurants/au-bon-pain-25/","$","green","  gluten-free"
"Au Bon Pain","209 Cambridge St",42.3614,-71.0666,"/restaurants/au-bon-pain-29/","$","green","  gluten-free"
"Au Bon Pain","369 Huntington Ave",42.34,-71.0901,"/restaurants/au-bon-pain-19/","$","green","  gluten-free"
"Au Bon Pain","1100 Massachusetts Ave",42.3705,-71.1137,"/restaurants/au-bon-pain-21/","$","green","  gluten-free"
"Au Bon Pain","101 Merrimac St",42.3639,-71.0617,"/restaurants/au-bon-pain-12/","$","green","  gluten-free"
"Au Bon Pain","18\u002D48 Holland St",42.3975,-71.1235,"/restaurants/au-bon-pain-22/","$","green","  gluten-free"
"Au Bon Pain","75 Francis St",42.3388,-71.1165,"/restaurants/au-bon-pain-13/","$","green","  gluten-free"
"Au Bon Pain","1 Design Center Pl",42.3439,-71.0343,"/restaurants/au-bon-pain-27/","$","green","  gluten-free"
"Au Bon Pain","100 Huntington Ave",42.3471,-71.0784,"/restaurants/au-bon-pain-20/","$","green","  gluten-free"
"Au Bon Pain","300 Longwood Ave",42.3374,-71.1053,"/restaurants/au-bon-pain-23/","$","green","  gluten-free"
"Au Bon Pain","431 Boylston St",42.3513,-71.073,"/restaurants/au-bon-pain/","$","green","  gluten-free"
"Au Bon Pain","26 Park Plz",42.3509,-71.0678,"/restaurants/au-bon-pain-4/","$","green","  gluten-free"
"Au Bon Pain","47 Commercial St",42.3664,-71.0761,"/restaurants/au-bon-pain-24/","$","green","  gluten-free"
"Au Bon Pain","340 Longwood Ave",42.3382,-71.1062,"/restaurants/au-bon-pain-11/","$","green","  "
"Au Bon Pain","1360 Massachussetts Ave",42.373,-71.1186,"/restaurants/au-bon-pain-18/","$","green","  gluten-free"
"Au Bon Pain","1 International Pl",42.3572,-71.0562,"/restaurants/au-bon-pain-9/","$","green","  gluten-free"
"Au Bon Pain (Harvard Vanguard)","300 Longwood Ave",42.3374,-71.1053,"/restaurants/au-bon-pain-harvard-vanguard/","$","green","  gluten-free"
"Au Bon Pain (Kiosk #1)","53 State St",42.3587,-71.0562,"/restaurants/au-bon-pain-kiosk/","$","green","  gluten-free"
"Au Bon Pain (Kiosk #2)","53 State St",42.3589,-71.0566,"/restaurants/au-bon-pain-10/","$","green","  gluten-free"
"Au Bon Pain (Kiosk)","1 Design Center Pl",42.3439,-71.0343,"/restaurants/au-bon-pain-kiosk-2/","$","green","  gluten-free"
"Au Bon Pain (Milk Bottle)","300 Congress St",42.3525,-71.0523,"/restaurants/au-bon-pain-milk-bottle/","$","green","  gluten-free"
"Au Bon Pain (Terminal A)","1 Harborside Dr",42.3632,-71.0244,"/restaurants/au-bon-pain-terminal-a/","$","green","  gluten-free"
"Au Bon Pain (Terminal B)","1 Harborside Dr",42.3656,-71.0096,"/restaurants/au-bon-pain-terminal-b/","$","green","  gluten-free"
"Au Bon Pain (Terminal C Kiosk)","1 Harborside Dr",42.3632,-71.0244,"/restaurants/au-bon-pain-terminal-c-kiosk/","$","green","  gluten-free"
"Au Bon Pain (Terminal C)","1 Harborside Dr",42.3656,-71.0096,"/restaurants/au-bon-pain-terminal-c/","$","green","  gluten-free"
"Audubon","838 Beacon St",42.3475,-71.1032,"/restaurants/audobon/","$$$","yellow","  "
"Aura","1 Seaport Ln",42.3492,-71.0418,"/restaurants/aura/","$$$$$","yellow","  "
"Aurum","377 Centre St",42.3223,-71.1091,"/restaurants/aurum/","$$","green"," vegetarian-friendly "
"Avana Sushi","42 Beach St",42.3511,-71.061,"/restaurants/avana-sushi/","$$","red","  "
"Avenue One","1 Avenue De Lafayette",42.3491,-71.0602,"/restaurants/avenue-one/","$$$$$","yellow","  "
"Avery Bar","10 Avery St",42.3533,-71.0631,"/restaurants/avery-bar/","$$$$","yellow","  "
"Avery Provision Co.","571 Washington St",42.3535,-71.0626,"/restaurants/avery-provision-co/","$$","green","  "
"Azama Grill","54 Harvard Ave",42.3543,-71.1328,"/restaurants/azama-grill/","$","green","  "
"B&G Oysters","550 Tremont St",42.344,-71.0717,"/restaurants/b-g-oysters/","$$$$$","yellow","  "
"b.good","655 Boylston St",42.3501,-71.0786,"/restaurants/bgood-8/","$","green","  "
"b.good","255 Washington St",42.3579,-71.058,"/restaurants/bgood-6/","$","green","  "
"b.good","137 Massachusetts Ave",42.347,-71.0876,"/restaurants/bgood-5/","$","green","  "
"b.good","131 Dartmouth St",42.3476,-71.0762,"/restaurants/bgood/","$","green","  "
"b.good","24 Dunster St",42.3727,-71.1193,"/restaurants/bgood-2/","$","green","  "
"b.good","84 Summer St",42.3539,-71.0581,"/restaurants/bgood-7/","$$","green","  "
"Ba Co Banh Mi","1095 Commonwealth Ave",42.3527,-71.1255,"/restaurants/ba-co-banh-mi/","$$","green","  "
"Bab Al-Amoud (CLOSED)","148\u002D150 Western Ave",42.3648,-71.1088,"/restaurants/bab-al-amoud/","$$","yellow","  "
"Bacco","107 Salem St",42.3642,-71.0558,"/restaurants/bacco/","$$$$","yellow","  "
"Back Bay Harry's","142 Berkeley St",42.3489,-71.0721,"/restaurants/back-bay-harrys/","$$$$$","yellow","  "
"Back Bay Sandwich","31 St James Ave",42.3507,-71.0716,"/restaurants/back-bay-sandwich/","$","green","  "
"Back Bay Social Club","867 Boylston St",42.3485,-71.0834,"/restaurants/back-bay-social-club/","$$$$","yellow","  "
"Back Deck Grill","2 West St",42.3544,-71.0617,"/restaurants/back-deck-grill/","$$$$","yellow","  gluten-free"
"backbar","9 Sanborn Ct",42.3796,-71.0949,"/restaurants/backbar/","$$","yellow","  "
"Bagel Rising","736 Commonwealth Ave",42.3497,-71.1066,"/restaurants/bagel-rising-3/","$","yellow","  "
"Bagelsaurus","1796 Massachusetts Ave",42.386,-71.1196,"/restaurants/bagelsaurus/","$","green","  "
"Bailey & Sage","5 Cambridge Ctr",42.3627,-71.0873,"/restaurants/bailey-sage/","$$","green","vegan vegetarian-friendly "
"Bailey and Sage","103 State St",42.3591,-71.0553,"/restaurants/bailey-and-sage/","$$","green","vegan vegetarian-friendly "
"Baja Betty's Burritos","3 Harvard Sq",42.3329,-71.1189,"/restaurants/baja-bettys-burritos/","$","yellow","  "
"Baja Taco Truck","Location Varies",42.3501,-71.107,"/restaurants/baja-taco-truck/","$","red","  "
"Bambara Kitchen & Bar","25 Edwin H Land Blvd",42.3672,-71.0753,"/restaurants/bambara/","$$$$$","yellow","  "
"Bamboo","1616 Commonwealth Ave",42.3433,-71.1431,"/restaurants/bamboo/","$$","yellow","  "
"Bangkok Bistro","433 Washington St",42.3493,-71.1568,"/restaurants/bangkok-bistro-2/","$$","red","  "
"Bangkok Blue","651 Boylston St",42.3499,-71.0784,"/restaurants/bangkok-blue/","$$","yellow","  "
"Bangkok Express","1 Faneuil Hall Marketplace",42.3605,-71.0545,"/restaurants/bangkok-express/","$$","red","  "
"Banh Mi House","48 Winter St",42.3561,-71.0618,"/restaurants/banh-mi-house/","$","green","  "
"Bao Nation","575 Massachusetts Ave",42.365,-71.1024,"/restaurants/bao-nation/","$","green","  "
"Bar 10 (Bar Ten)","10 Huntington Ave",42.3488,-71.0776,"/restaurants/bar-10/","$$$$","yellow","  "
"Bar Boulud","776 Boylston St",42.3485,-71.0824,"/restaurants/bar-boulud/","$$$$$","yellow","  "
"Bar Lola","160 Commonwealth Ave",42.3516,-71.0785,"/restaurants/bar-lola/","$$","red","  "
"Bar Louie","121 Brookline Ave",42.3459,-71.1006,"/restaurants/bar-louie/","$$","yellow","  "
"Baraka Cafe","80 1/2 Pearl St",42.3629,-71.1047,"/restaurants/baraka-cafe/","$$$","yellow","  "
"Barcelona Wine Bar","1700 Beacon St",42.3388,-71.1388,"/restaurants/barcelona-wine-bar/","$$","yellow","  "
"Barking Crab","88 Sleeper St",42.3538,-71.0487,"/restaurants/barking-crab/","$$$$","yellow","  "
"Barlow's","241 A Street",42.347,-71.0513,"/restaurants/barlows/","$$$","yellow","  gluten-free"
"Barney Fanning's","99 Broad St",42.3574,-71.0526,"/restaurants/barney-fannings/","$$","yellow","  "
"Barracuda Tavern","15 Bosworth St",42.3573,-71.061,"/restaurants/barracuda-tavern/","$$$","red","  "
"Barrington Coffee","346 Congress St",42.3508,-71.0488,"/restaurants/barrington-coffee/","$","red","  "
"Baseball Tavern","1270 Boylston St",42.3451,-71.0959,"/restaurants/baseball-tavern/","$$","yellow","  "
"Basha Cafe (CLOSED)","26 New St",42.388,-71.1406,"/restaurants/basha-cafe-2/","$$$","yellow","  "
"Basho","1338 Boylston St",42.3442,-71.0996,"/restaurants/basho/","$$$$","red","  "
"Basil Rice","479 Harvard St",42.3473,-71.1284,"/restaurants/basil-rice/","$$","yellow","  "
"Basta Pasta","319 Western Ave",42.3646,-71.1134,"/restaurants/basta-pasta/","$$","yellow","  "
"Bastille Kitchen","49 Melcher St",42.3494,-71.0502,"/restaurants/bastille-kitchen/","$$$$$","yellow","  "
"Battery Park","33 Batterymarch St",42.3576,-71.0545,"/restaurants/battery-park/","$$$","red","  "
"Beacon Hill Bistro","25 Charles St",42.3569,-71.0702,"/restaurants/beacon-hill-bistro/","$$$$$","yellow","  "
"Beacon Hill Chocolates","91 Charles St",42.3588,-71.0711,"/restaurants/beacon-hill-chocolates/","$$$","yellow","  "
"Beacon Street Pizza","147 Beacon St",42.3789,-71.1067,"/restaurants/beacon-street-pizza/","$$","red","  "
"Bean & Leaf Cafe","20 Custom House St",42.3581,-71.0534,"/restaurants/bean-leaf-cafe/","$$","green","  "
"BeanTown Hoagie","102 Water St",42.3578,-71.0554,"/restaurants/beantown-hoagie/","$","green","  "
"Beantown Pho & Grill","272 Newbury St",42.3493,-71.0831,"/restaurants/beantown-pho-grill/","$$$","red","  "
"Beantown Pub","100 Tremont St",42.3581,-71.0607,"/restaurants/beantown-pub/","$$","yellow","  "
"Beantown Taqueria","245 Massachusetts Ave",42.3616,-71.0974,"/restaurants/beantown-taqueria/","$","yellow","  "
"Beantown Taqueria","148 Western Ave",42.3648,-71.1088,"/restaurants/beantown-taqueria-2/","$","yellow","  "
"Beantowne Coffee House","1 Kendall Sq",42.3654,-71.091,"/restaurants/beantowne-coffee-house/","$","green","  "
"Beat Hotel","13 Brattle St",42.3733,-71.1201,"/restaurants/beat-hotel/","$$$$$","yellow","  "
"Beauty's","228A Broadway",42.3665,-71.0943,"/restaurants/beautys/","$$","yellow","  "
"Beehive","541 Tremont St",42.3445,-71.0709,"/restaurants/beehive/","$$$$","red","  "
"Bees Knees Supply Co.","12 Farnsworth St",42.3512,-71.0487,"/restaurants/bees-knees-supply-co/","$$","green","  "
"Beijing Cafe","728 Commonwealth Ave",42.3497,-71.1066,"/restaurants/beijing-cafe/","$$","red","  "
"Beijing Kyoto","112 South St",42.351,-71.0577,"/restaurants/beijing-kyoto/","$$","red","  "
"Beijing Tokyo","781 Main St",42.3633,-71.097,"/restaurants/beijing-tokyo/","$$","red","  "
"Bel Ari","107 South St",42.3515,-71.0575,"/restaurants/bel-ari/","$$$$","yellow","  "
"Bella Luna","284 Amory St",42.3148,-71.1045,"/restaurants/bella-luna/","$$$","yellow","  "
"Bella Vista","288 Hanover St",42.364,-71.0545,"/restaurants/bella-vista/","$$$","yellow","  "
"Belly Wine Bar","1 Kendall Sq",42.3665,-71.0905,"/restaurants/belly-wine-bar/","$$$$","yellow","  "
"Ben & Jerry's","174 Newbury St",42.3505,-71.0792,"/restaurants/ben-jerrys/","$","red","  gluten-free"
"Ben & Jerry's","800 Boylston St",42.3487,-71.0826,"/restaurants/ben-jerrys-3/","$","red","  gluten-free"
"Ben & Jerry's","1 Central Wharf",42.359,-71.0506,"/restaurants/ben-jerrys-6/","$","red","  gluten-free"
"Ben & Jerry's","20 Park Plaza",42.3515,-71.0687,"/restaurants/ben-jerrys-5/","$","red","  gluten-free"
"Ben & Jerry's","600 D St",42.3486,-71.0398,"/restaurants/ben-jerrys-4/","$","red","  gluten-free"
"Ben & Jerry's","36 JFK St",42.3726,-71.1199,"/restaurants/ben-jerrys-2/","$","red","  gluten-free"
"Ben and Jerry's Cambridge","36 JFK STREET",42.3727,-71.1197,"/restaurants/ben-and-jerrys-cambridge/","$","yellow","  "
"Benevento's","111 Salem St",42.3643,-71.0558,"/restaurants/beneventos/","$$$","red","  "
"Benny's Crepe Cafe","Location Varies",42.3613,-71.0483,"/restaurants/bennys-crepe-cafe/","$","yellow","  "
"Bergamot","118 Beacon St",42.3779,-71.106,"/restaurants/bergamot/","$$$$$","yellow","  "
"Berkeley Perk Cafe","69 Berkeley St",42.3468,-71.0705,"/restaurants/berkeley-perk-cafe/","$","yellow","  "
"Berkshire's","1 Hotel Dr",42.3664,-71.0244,"/restaurants/berkshires/","$$$","yellow","  "
"Bernard's","55 Boylston St",42.3262,-71.1426,"/restaurants/bernards/","$$$$","red","  "
"BerryLine","1668 Massachusetts Ave",42.3821,-71.1197,"/restaurants/berryline-2/","$","red","  "
"BerryLine","1377 Boylston St",42.3439,-71.1006,"/restaurants/berryline-3/","$","red","  "
"BerryLine","1 Arrow St",42.371,-71.1142,"/restaurants/berryline/","$","red","  "
"Bertucci's","799 Main St",42.3633,-71.0974,"/restaurants/bertuccis--3/","$$","red","  gluten-free"
"Bertucci's","533 Commonwealth Ave",42.349,-71.0963,"/restaurants/bertuccis-2/","$$","red","  gluten-free"
"Bertucci's","1 Blackfan Cir",42.3378,-71.1054,"/restaurants/bertuccis-3/","$$","red","  gluten-free"
"Bertucci's","22 Merchants Row",42.3595,-71.0559,"/restaurants/bertuccis/","$$","red","  "
"Between Hours","154 Harvard Ave",42.3523,-71.1319,"/restaurants/between-hours/","$","red","  "
"bibim","166 Harvard Ave",42.3523,-71.1319,"/restaurants/bibim/","$$$","red","  "
"Biddy Early's","141 Pearl St",42.355,-71.054,"/restaurants/biddy-earlys/","$","yellow","  "
"Big Daddy's","436 Western Ave",42.3624,-71.1418,"/restaurants/big-daddys/","$$","yellow","  "
"Big Daddy's Hot Dog Stand","622 Boylston St",42.3501,-71.0774,"/restaurants/big-daddys-hot-dog-stand/","$","yellow","  "
